9.58364;1.89471,0.5278624,3.261155;1.95229,-1.0596783.360261;2.69,0.07999992,4.63;0,0,0;0
9.600458;1.927492,0.5100687,3.317579;1.952355,-1.0597263.360372;2.69,0.07999992,4.63;0,0,0;0
9.617489;1.960694,0.4920461,3.374727;1.952419,-1.0597743.360483;2.69,0.07999992,4.63;0,0,0;0
9.63343;1.992052,0.4750005,3.428699;1.959571,-1.0652093.372793;2.69,0.07999992,4.63;0,0,0;0
9.650444;2.025615,0.456701,3.486468;1.973796,-1.0761593.397277;2.69,0.07999992,4.63;0,0,0;0
9.666529;2.057257,0.439449,3.540929;1.973856,-1.0762063.39738;2.69,0.07999992,4.63;0,0,0;0
9.683026;2.090065,0.4215333,3.597399;1.980515,-1.081493.40884;2.69,0.07999992,4.63;0,0,0;0
9.699633;2.122878,0.4036151,3.653877;1.980568,-1.0815333.408932;2.69,0.07999992,4.63;0,0,0;0
9.716468;2.156398,0.3852805,3.71157;1.987104,-1.0869143.420182;2.69,0.07999992,4.63;0,0,0;0
9.733461;2.190369,0.3666355,3.770042;1.999711,-1.0975183.44188;2.69,0.07999992,4.63;0,0,0;0
9.749418;2.222325,0.3490118,3.825043;2.016934,-1.1123623.471525;2.69,0.07999992,4.63;0,0,0;0
9.765964;2.255739,0.3305831,3.882555;2.016988,-1.112413.471617;2.69,0.07999992,4.63;0,0,0;0
9.782496;2.289361,0.3120094,3.940424;2.022141,-1.1171033.480487;2.69,0.07999992,4.63;0,0,0;0
9.799538;2.323689,0.2930445,3.999511;2.022187,-1.1171453.480565;2.69,0.07999992,4.63;0,0,0;0
9.815549;2.356314,0.2749881,4.055665;2.026962,-1.1218283.488784;2.69,0.07999992,4.63;0,0,0;0
9.832463;2.390755,0.2558517,4.114944;2.036365,-1.1314663.504969;2.69,0.07999992,4.63;0,0,0;0
9.848716;2.423788,0.2374974,4.1718;2.036399,-1.1315033.505028;2.69,0.07999992,4.63;0,0,0;0
9.865505;2.458102,0.2183867,4.230861;2.040816,-1.1365963.51263;2.69,0.07999992,4.63;0,0,0;0
9.882491;2.49274,0.1990954,4.290479;2.040847,-1.1366343.512683;2.69,0.07999992,4.63;0,0,0;0
9.898513;2.525495,0.1808005,4.346856;2.044801,-1.1421063.519489;2.69,0.07999992,4.63;0,0,0;0
9.915028;2.559158,0.1619977,4.404797;2.044834,-1.1421573.519545;2.69,0.07999992,4.63;0,0,0;0
9.931498;2.593094,0.1429618,4.463207;2.048537,-1.1491063.525918;2.69,0.07999992,4.63;0,0,0;0
9.948112;2.627143,0.123652,4.521812;2.055216,-1.1655313.537413;2.69,0.07999992,4.63;0,0,0;0
9.965514;2.663078,0.1027937,4.583663;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
9.981592;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
9.997823;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.01438;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.03144;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.04746;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.0645;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.08061;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.09748;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.1138;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.1306;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.14754;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.1635;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.18048;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.19651;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.21353;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.22974;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.2463;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.26279;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.2796;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.29665;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.31254;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.3295;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.34559;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.36255;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.37874;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.39553;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.41248;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.42849;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.44502;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.46158;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.47863;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.49477;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.51165;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.52787;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.54462;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.56103;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.57758;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.5947;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.61065;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.62733;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
10.64458;2.69,0.07999992,4.63;2.063241,-1.1976083.551222;2.69,0.07999992,4.63;0,0,0;0
